n	∆_{(n)}
 	p_{n+1} - p_n
2959	6
2960	6
2961	18
2962	6
2963	14
2964	12
2965	16
2966	2
2967	6
2968	6
2969	4
2970	14
2971	12
2972	4
2973	2
2974	18
2975	16
2976	36
2977	12
2978	6
2979	14
2980	28
2981	2
2982	12
2983	6
2984	12
2985	6
2986	4
2987	2
2988	16
2989	30
2990	8
2991	24
2992	6
2993	30
2994	10
2995	2
2996	18
2997	4
2998	6
2999	12
3000	8
3001	22
3002	2
3003	6
3004	22
3005	18
3006	2
3007	10
3008	2
3009	10
3010	30
3011	2
3012	28
3013	6
3014	14
3015	16
3016	6
3017	20
3018	16
3019	2
3020	6
3021	4
3022	32
3023	4
3024	2
3025	4
3026	6
3027	2
3028	12
3029	4
3030	6
3031	6
3032	12
3033	2
3034	6
3035	4
3036	6
3037	8
3038	6
3039	4
3040	20
3041	4
3042	32
3043	10
3044	8
3045	16
3046	2
3047	22
3048	2
3049	4
3050	6
3051	8
3052	6
3053	16
3054	14
3055	4
3056	18
3057	8
3058	4
3059	20
3060	6
3061	12
3062	12
3063	6
3064	10
3065	2
3066	10
3067	2
3068	12
3069	28
3070	12
3071	18
3072	2
3073	18
3074	10
3075	8
3076	10
3077	48
3078	2
3079	4
3080	6
3081	8
3082	10
3083	2
3084	10
3085	30
3086	2
3087	36
3088	6
3089	10
3090	6
3091	2
3092	18
3093	4
3094	6
3095	8
3096	16
3097	14
3098	16
3099	6
3100	14
3101	4
3102	20
3103	4
3104	6
3105	2
3106	10
3107	12
3108	2
3109	6
3110	12
3111	6
3112	6
3113	4
3114	12
3115	2
3116	6
3117	4
3118	12
3119	6
3120	8
3121	4
3122	2
3123	6
3124	18
3125	10
3126	6
3127	8
3128	12
3129	6
3130	22
3131	2
3132	6
3133	12
3134	18
3135	4
3136	14
3137	6
3138	4
3139	20
3140	6
3141	16
3142	8
3143	4
3144	8
3145	22
3146	8
3147	12
3148	6
3149	6
3150	16
3151	12
3152	18
3153	30
3154	8
3155	4
3156	2
3157	4
3158	6
3159	26
3160	4
3161	14
3162	24
3163	22
3164	6
3165	2
3166	6
3167	10
3168	6
3169	14
3170	6
3171	6
3172	12
3173	10
3174	6
3175	2
3176	12
3177	10
3178	12
3179	8
3180	18
3181	18
3182	10
3183	6
3184	8
3185	16
3186	6
3187	6
3188	8
3189	16
3190	20
3191	4
3192	2
3193	10
3194	2
3195	10
3196	12
3197	6
3198	8
3199	6
3200	10
3201	20
3202	10
3203	18
3204	26
3205	4
3206	6
3207	30
3208	2
3209	4
3210	8
3211	6
3212	12
3213	12
3214	18
3215	4
3216	8
3217	22
3218	6
3219	2
3220	12
3221	34
3222	6
3223	18
3224	12
3225	6
3226	2
3227	28
3228	14
3229	16
3230	14
3231	4
3232	14
3233	12
3234	4
3235	6
3236	6
3237	2
3238	36
3239	4
3240	6
3241	20
3242	12
3243	24
3244	6
3245	22
3246	2
3247	16
3248	18
3249	12
3250	12
3251	18
3252	2
3253	6
3254	6
3255	6
3256	4
3257	6
3258	14
3259	4
3260	2
3261	22
3262	8
3263	12
3264	6
3265	10
3266	6
3267	8
3268	12
3269	18
3270	12
3271	6
3272	10
3273	2
3274	22
3275	14
3276	6
3277	6
3278	4
3279	18
3280	6
3281	20
3282	22
3283	2
3284	12
3285	24
3286	4
3287	18
3288	18
3289	2
3290	22
3291	2
3292	4
3293	12
3294	8
3295	12
3296	10
3297	14
3298	4
3299	2
3300	18
3301	16
3302	38
3303	6
3304	6
3305	6
3306	12
3307	10
3308	6
3309	12
3310	8
3311	6
3312	4
3313	6
3314	14
3315	30
3316	6
3317	10
3318	8
3319	22
3320	6
3321	8
3322	12
3323	10
3324	2
3325	10
3326	2
3327	6
3328	10
3329	2
3330	10
3331	12
3332	18
3333	20
3334	6
3335	4
3336	8
3337	22
3338	6
3339	6
3340	30
3341	6
3342	14
3343	6
3344	12
3345	12
3346	6
3347	10
3348	2
3349	10
3350	30
3351	2
3352	16
3353	8
3354	4
3355	2
3356	6
3357	18
3358	4
3359	2
3360	6
3361	4
3362	26
3363	4
3364	8
3365	6
3366	10
3367	2
3368	4
3369	6
3370	8
3371	4
3372	6
3373	30
3374	12
3375	2
3376	6
3377	6
3378	4
3379	20
3380	22
3381	8
3382	4
3383	2
3384	4
3385	72
3386	8
3387	4
3388	8
3389	22
3390	2
3391	4
3392	14
3393	10
3394	2
3395	4
3396	20
3397	6
3398	10
3399	18
3400	6
3401	20
3402	16
3403	6
3404	8
3405	6
3406	4
3407	20
3408	12
3409	22
3410	2
3411	4
3412	2
3413	12
3414	10
3415	18
3416	2
3417	22
3418	6
3419	18
3420	30
3421	2
3422	10
3423	14
3424	10
3425	8
3426	16
3427	50
3428	6
3429	10
3430	8
3431	10
3432	12
3433	6
3434	18
3435	2
3436	22
3437	6
3438	2
3439	4
3440	6
3441	8
3442	6
3443	6
3444	10
3445	18
3446	2
3447	22
3448	2
3449	16
3450	14
3451	10
3452	6
3453	2
3454	12
3455	10
3456	20
3457	4
3458	14
3459	6
3460	4
3461	36
3462	2
3463	4
3464	6
3465	12
3466	2
3467	4
3468	14
3469	12
3470	6
3471	4
3472	6
3473	2
3474	6
3475	4
3476	20
3477	10
3478	2
3479	10
3480	6
3481	12
3482	2
3483	24
3484	12
3485	12
3486	6
3487	6
3488	4
3489	24
3490	2
3491	4
3492	24
3493	2
3494	6
3495	4
3496	6
3497	8
3498	16
3499	6
3500	2
3501	10
3502	12
3503	14
3504	6
3505	34
3506	6
3507	14
3508	6
3509	4
3510	2
3511	30
3512	22
3513	8
3514	4
3515	6
3516	8
3517	4
3518	2
3519	28
3520	2
3521	6
3522	4
3523	26
3524	18
3525	22
3526	2
3527	6
3528	16
3529	6
3530	2
3531	16
3532	12
3533	2
3534	12
3535	4
3536	6
3537	6
3538	14
3539	10
3540	6
3541	8
3542	12
3543	4
3544	18
3545	2
3546	10
3547	8
3548	16
3549	6
3550	6
3551	30
3552	2
3553	10
3554	18
3555	2
3556	10
3557	8
3558	4
3559	8
3560	12
3561	24
3562	40
3563	2
3564	12
3565	10
3566	6
3567	12
3568	2
3569	12
3570	4
3571	2
3572	4
3573	6
3574	18
3575	14
3576	12
3577	6
3578	4
3579	14
3580	30
3581	4
3582	8
3583	10
3584	8
3585	6
3586	10
3587	18
3588	8
3589	4
3590	14
3591	16
3592	6
3593	8
3594	4
3595	6
3596	2
3597	10
3598	2
3599	12
3600	4
3601	2
3602	4
3603	6
3604	8
3605	4
3606	6
3607	32
3608	24
3609	10
3610	8
3611	18
3612	10
3613	2
3614	6
3615	10
3616	2
3617	4
3618	18
3619	6
3620	12
3621	2
3622	16
3623	2
3624	22
3625	6
3626	6
3627	8
3628	18
3629	4
3630	18
3631	12
3632	8
3633	6
3634	4
3635	20
3636	6
3637	30
3638	22
3639	12
3640	2
3641	6
3642	18
3643	4
3644	62
3645	4
3646	2
3647	12
3648	6
3649	10
3650	2
3651	12
3652	12
3653	28
3654	2
3655	4
3656	14
3657	22
3658	6
3659	2
3660	6
3661	6
3662	10
3663	14
3664	4
3665	2
3666	10
3667	6
3668	8
3669	10
3670	14
3671	10
3672	6
3673	2
3674	12
3675	22
3676	18
3677	8
3678	10
3679	18
3680	12
3681	2
3682	12
3683	4
3684	12
3685	2
3686	10
3687	2
3688	6
3689	18
3690	6
3691	6
3692	34
3693	6
3694	2
3695	12
3696	4
3697	6
3698	18
3699	18
3700	2
3701	16
3702	6
3703	6
3704	8
3705	6
3706	10
3707	18
3708	8
3709	10
3710	8
3711	10
3712	2
3713	4
3714	18
3715	26
3716	12
3717	22
3718	2
3719	4
3720	2
3721	22
3722	6
3723	6
3724	14
3725	16
3726	6
3727	20
3728	10
3729	12
3730	2
3731	18
3732	42
3733	4
3734	24
3735	2
3736	6
3737	10
3738	12
3739	2
3740	6
3741	10
3742	8
3743	4
3744	6
3745	12
3746	12
3747	8
3748	4
3749	6
3750	12
3751	30
3752	20
3753	6
3754	24
3755	6
3756	10
3757	12
3758	2
3759	10
3760	20
3761	6
3762	6
3763	4
3764	12
3765	14
3766	10
3767	18
3768	12
3769	8
3770	6
3771	12
3772	4
3773	14
3774	10
3775	2
3776	12
3777	30
3778	16
3779	2
3780	12
3781	6
3782	4
3783	2
3784	4
3785	6
3786	26
3787	4
3788	18
3789	2
3790	4
3791	6
3792	14
3793	54
3794	6
3795	52
3796	2
3797	16
3798	6
3799	6
3800	12
3801	26
3802	4
3803	2
3804	6
3805	22
3806	6
3807	2
3808	12
3809	12
3810	6
3811	10
3812	18
3813	2
3814	12
3815	12
3816	10
3817	18
3818	12
3819	6
3820	8
3821	6
3822	10
3823	6
3824	8
3825	4
3826	2
3827	4
3828	20
3829	24
3830	6
3831	6
3832	10
3833	14
3834	10
3835	2
3836	22
3837	6
3838	14
3839	10
3840	26
3841	4
3842	18
3843	8
3844	12
3845	12
3846	10
3847	12
3848	6
3849	8
3850	16
3851	6
3852	8
3853	6
3854	6
3855	22
3856	2
3857	10
3858	20
3859	10
3860	6
3861	44
3862	18
3863	6
3864	10
3865	2
3866	4
3867	6
3868	14
3869	4
3870	26
3871	4
3872	2
3873	12
3874	10
3875	8
3876	4
3877	8
3878	12
3879	4
3880	12
3881	8
3882	22
3883	8
3884	6
3885	10
3886	18
3887	6
3888	6
3889	8
3890	6
3891	12
3892	4
3893	8
3894	18
3895	10
3896	12
3897	6
3898	12
3899	2
3900	6
3901	4
3902	2
3903	16
3904	12
3905	12
3906	14
3907	10
3908	14
3909	6
3910	10
3911	12
3912	2
3913	12
3914	6
3915	4
3916	6
3917	2
3918	12
3919	4
3920	26
3921	6
3922	18
3923	6
3924	10
3925	6
3926	2
3927	18
3928	10
3929	8
3930	4
3931	26
3932	10
3933	20
3934	6
3935	16
3936	20
3937	12
3938	10
3939	8
3940	10
3941	2
3942	16
3943	6
3944	20
3945	10
3946	20
3947	4
3948	30
3949	2
3950	4
3951	8
3952	16
3953	2
3954	18
3955	4
3956	2
3957	6
3958	10
3959	18
3960	12
3961	14
3962	18
3963	6
3964	16
3965	20
3966	6
3967	4
3968	8
3969	6
3970	4
3971	6
3972	12
3973	8
3974	10
3975	2
3976	12
3977	6
3978	4
3979	2
3980	6
3981	10
3982	2
3983	16
3984	12
3985	14
3986	10
3987	6
3988	8
3989	6
3990	28
3991	2
3992	6
3993	18
3994	30
3995	34
3996	2
3997	16
3998	12
3999	2
4000	18
4001	16
4002	6
4003	8
4004	10
4005	8
4006	10
4007	8
4008	10
4009	44
4010	6
4011	6
4012	4
4013	20
4014	4
4015	2
4016	4
4017	14
4018	28
4019	8
4020	6
4021	16
4022	14
4023	30
4024	6
4025	30
4026	4
4027	14
4028	10
4029	6
4030	6
4031	8
4032	4
4033	18
4034	12
4035	6
4036	2
4037	22
4038	12
4039	8
4040	6
4041	12
4042	4
4043	14
4044	4
4045	6
4046	2
4047	4
4048	18
4049	20
4050	6
4051	16
4052	38
4053	16
4054	2
4055	4
4056	6
4057	2
4058	40
4059	42
4060	14
4061	4
4062	6
4063	2
4064	24
4065	10
4066	6
4067	2
4068	18
4069	10
4070	12
4071	2
4072	16
4073	2
4074	6
4075	16
4076	6
4077	8
4078	4
4079	2
4080	10
4081	6
4082	8
4083	10
4084	2
4085	18
4086	16
4087	8
4088	12
4089	18
4090	12
4091	6
4092	12
4093	10
4094	6
4095	6
4096	18
4097	12
4098	14
4099	4
4100	2
4101	10
4102	20
4103	6
4104	12
4105	6
4106	16
4107	26
4108	4
4109	18
4110	2
4111	4
4112	32
4113	10
4114	8
4115	6
4116	4
4117	6
4118	6
4119	14
4120	6
4121	18
4122	4
4123	2
4124	18
4125	10
4126	8
4127	10
4128	8
4129	10
4130	2
4131	4
4132	6
4133	2
4134	10
4135	42
4136	8
4137	12
4138	4
4139	6
4140	18
4141	2
4142	16
4143	8
4144	4
4145	2
4146	10
4147	14
4148	12
4149	10
4150	20
4151	4
4152	8
4153	10
4154	38
4155	4
4156	6
4157	2
4158	10
4159	20
4160	10
4161	12
4162	6
4163	12
4164	26
4165	12
4166	4
4167	8
4168	28
4169	8
4170	4
4171	8
4172	24
4173	6
4174	10
4175	8
4176	6
4177	16
4178	12
4179	8
4180	10
4181	12
4182	8
4183	22
4184	6
4185	2
4186	10
4187	2
4188	6
4189	10
4190	6
4191	6
4192	8
4193	6
4194	4
4195	14
4196	28
4197	8
4198	16
4199	18
4200	8
4201	4
4202	6
4203	20
4204	4
4205	18
4206	6
4207	2
4208	24
4209	24
4210	6
4211	6
4212	12
4213	12
4214	4
4215	2
4216	22
4217	2
4218	10
4219	6
4220	8
4221	12
4222	4
4223	20
4224	18
4225	6
4226	4
4227	12
4228	24
4229	6
4230	6
4231	54
4232	8
4233	6
4234	4
4235	26
4236	36
4237	4
4238	2
4239	4
4240	26
4241	12
4242	12
4243	4
4244	6
4245	6
4246	8
4247	12
4248	10
4249	2
4250	12
4251	16
4252	18
4253	6
4254	8
4255	6
4256	12
4257	18
4258	10
4259	2
4260	54
4261	4
4262	2
4263	10
4264	30
4265	12
4266	8
4267	4
4268	8
4269	16
4270	14
4271	12
4272	6
4273	4
4274	6
4275	12
4276	6
4277	2
4278	4
4279	14
4280	12
4281	4
4282	14
4283	6
4284	24
4285	6
4286	6
4287	10
4288	12
4289	12
4290	20
4291	18
4292	6
4293	6
4294	16
4295	8
4296	4
4297	6
4298	20
4299	4
4300	32
4301	4
4302	14
4303	10
4304	2
4305	6
4306	12
4307	16
4308	2
4309	4
4310	6
4311	12
4312	2
4313	10
4314	8
4315	6
4316	4
4317	2
4318	10
4319	14
4320	6
4321	6
4322	12
4323	18
4324	34
4325	8
4326	10
4327	6
4328	24
4329	6
4330	2
4331	10
4332	12
4333	2
4334	30
4335	10
4336	14
4337	12
4338	12
4339	16
4340	6
4341	6
4342	2
4343	18
4344	4
4345	6
4346	30
4347	14
4348	4
4349	6
4350	6
4351	2
4352	6
4353	4
4354	6
4355	14
4356	6
4357	4
4358	8
4359	10
4360	12
4361	6
4362	32
4363	10
4364	8
4365	22
4366	2
4367	10
4368	6
4369	24
4370	8
4371	4
4372	30
4373	6
4374	2
4375	12
4376	16
4377	8
4378	6
4379	4
4380	6
4381	8
4382	16
4383	14
4384	6
4385	6
4386	4
4387	2
4388	10
4389	12
4390	2
4391	16
4392	14
4393	4
4394	2
4395	4
4396	20
4397	18
4398	10
4399	2
4400	10
4401	6
4402	12
4403	30
4404	8
4405	18
4406	12
4407	10
4408	2
4409	6
4410	6
4411	4
4412	12
4413	12
4414	2
4415	4
4416	12
4417	18
4418	24
4419	2
4420	10
4421	6
4422	8
4423	16
4424	8
4425	6
4426	12
4427	10
4428	14
4429	6
4430	12
4431	6
4432	6
4433	4
4434	2
4435	24
4436	4
4437	6
4438	8
4439	6
4440	4
4441	2
4442	4
4443	6
4444	14
4445	4
4446	8
4447	10
4448	24
4449	24
4450	12
4451	2
4452	6
4453	12
4454	22
4455	30
4456	2
4457	6
4458	18
4459	10
4460	6
4461	6
4462	8
4463	4
4464	2
4465	6
4466	10
4467	8
4468	10
4469	6
4470	8
4471	16
4472	6
4473	14
4474	6
4475	4
4476	24
4477	8
4478	10
4479	2
4480	12
4481	6
4482	4
4483	36
4484	2
4485	22
4486	6
4487	8
4488	6
4489	10
4490	8
4491	6
4492	12
4493	10
4494	14
4495	10
4496	6
4497	18
4498	12
4499	2
4500	12
4501	4
4502	26
4503	10
4504	14
4505	16
4506	18
4507	8
4508	18
4509	12
4510	12
4511	6
4512	16
4513	14
4514	24
4515	10
4516	12
4517	8
4518	22
4519	6
4520	2
4521	10
4522	60
4523	6
4524	2
4525	4
4526	8
4527	16
4528	14
4529	10
4530	6
4531	24
4532	6
4533	12
4534	18
4535	24
4536	2
4537	30
4538	4
4539	2
4540	12
4541	6
4542	10
4543	2
4544	4
4545	14
4546	6
4547	16
4548	2
4549	10
4550	8
4551	22
4552	20
4553	6
4554	4
4555	32
4556	6
4557	18
4558	4
4559	2
4560	4
4561	2
4562	4
4563	8
4564	52
4565	14
4566	22
4567	2
4568	22
4569	20
4570	10
4571	8
4572	10
4573	2
4574	6
4575	4
4576	14
4577	4
4578	6
4579	20
4580	4
4581	6
4582	2
4583	12
4584	12
4585	6
4586	12
4587	16
4588	2
4589	12
4590	10
4591	8
4592	4
4593	6
4594	2
4595	28
4596	12
4597	8
4598	10
4599	12
4600	2
4601	4
4602	14
4603	28
4604	8
4605	6
4606	4
4607	2
4608	4
4609	6
4610	2
4611	12
4612	58
4613	6
4614	14
4615	10
4616	2
4617	6
4618	28
4619	32
4620	4
4621	30
4622	8
4623	6
4624	4
4625	6
4626	12
4627	12
4628	2
4629	4
4630	6
4631	6
4632	14
4633	16
4634	8
4635	30
4636	4
4637	2
4638	10
4639	8
4640	6
4641	4
4642	6
4643	26
4644	4
4645	12
4646	2
4647	10
4648	18
4649	12
4650	12
4651	18
4652	2
4653	4
4654	12
4655	8
4656	12
4657	10
4658	20
4659	4
4660	8
4661	16
4662	12
4663	8
4664	6
4665	16
4666	8
4667	10
4668	12
4669	14
4670	6
4671	4
4672	8
4673	12
4674	4
4675	20
4676	6
4677	40
4678	8
4679	16
4680	6
4681	36
4682	2
4683	6
4684	4
4685	6
4686	2
4687	22
4688	18
4689	2
4690	10
4691	6
4692	36
4693	14
4694	12
4695	4
4696	18
4697	8
4698	4
4699	14
4700	10
4701	2
4702	10
4703	8
4704	4
4705	2
4706	18
4707	16
4708	12
4709	14
4710	10
4711	14
4712	6
4713	6
4714	42
4715	10
4716	6
4717	6
4718	20
4719	10
4720	8
4721	12
4722	4
4723	12
4724	18
4725	2
4726	10
4727	14
4728	18
4729	10
4730	18
4731	8
4732	6
4733	4
4734	14
4735	6
4736	10
4737	30
4738	14
4739	6
4740	6
4741	4
4742	12
4743	38
4744	4
4745	2
4746	4
4747	6
4748	8
4749	12
4750	10
4751	6
4752	18
4753	6
4754	50
4755	6
4756	4
4757	6
4758	12
4759	8
4760	10
4761	32
4762	6
4763	22
4764	2
4765	10
4766	12
4767	18
4768	2
4769	6
4770	4
4771	30
4772	8
4773	6
4774	6
4775	18
4776	10
4777	2
4778	4
4779	12
4780	20
4781	10
4782	8
4783	24
4784	10
4785	2
4786	6
4787	22
4788	6
4789	2
4790	18
4791	10
4792	12
4793	2
4794	30
4795	18
4796	12
4797	28
4798	2
4799	6
4800	4
4801	6
4802	14
4803	6
4804	12
4805	10
4806	8
4807	4
4808	12
4809	26
4810	10
4811	8
4812	6
4813	16
4814	2
4815	10
4816	18
4817	14
4818	6
4819	4
4820	6
4821	14
4822	16
4823	2
4824	6
4825	4
4826	12
4827	20
4828	4
4829	20
4830	4
4831	6
4832	12
4833	2
4834	36
4835	4
4836	6
4837	2
4838	10
4839	2
4840	22
4841	8
4842	6
4843	10
4844	12
4845	12
4846	18
4847	14
4848	24
4849	36
4850	4
4851	20
4852	24
4853	10
4854	6
4855	2
4856	28
4857	6
4858	18
4859	8
4860	4
4861	6
4862	8
4863	6
4864	4
4865	2
4866	12
4867	28
4868	18
4869	14
4870	16
4871	14
4872	18
4873	10
4874	8
4875	6
4876	4
4877	6
4878	6
4879	8
4880	22
4881	12
4882	2
4883	10
4884	18
4885	6
4886	2
4887	18
4888	10
4889	2
4890	12
4891	10
4892	18
4893	32
4894	6
4895	4
4896	6
4897	6
4898	8
4899	6
4900	6
4901	10
4902	20
4903	6
4904	12
4905	10
4906	8
4907	10
4908	14
4909	6
4910	10
4911	14
4912	4
4913	2
4914	22
4915	18
4916	2
4917	10
4918	2
4919	4
4920	20
4921	4
4922	2
4923	34
4924	2
4925	12
4926	6
4927	10
4928	2
4929	10
4930	18
4931	6
4932	14
4933	12
4934	12
4935	22
4936	8
4937	6
4938	16
4939	6
4940	8
4941	4
4942	12
4943	6
4944	8
4945	4
4946	36
4947	6
4948	6
4949	20
4950	24
4951	6
4952	12
4953	18
4954	10
4955	2
4956	10
4957	26
4958	6
4959	16
4960	8
4961	6
4962	4
4963	24
4964	18
4965	8
4966	12
4967	12
4968	10
4969	18
4970	12
4971	2
4972	24
4973	4
4974	12
4975	18
4976	12
4977	14
4978	10
4979	2
4980	4
4981	24
4982	12
4983	14
4984	10
4985	6
4986	2
4987	6
4988	4
4989	6
4990	26
4991	4
4992	6
4993	6
4994	2
4995	22
4996	8
4997	18
4998	4
4999	18
