n	∆_{(n)}
 	p_{n+1} - p_n
793	10
794	2
795	10
796	12
797	8
798	10
799	2
800	10
801	8
802	12
803	10
804	24
805	2
806	4
807	8
808	6
809	4
810	8
811	18
812	10
813	6
814	6
815	2
816	6
817	10
818	12
819	2
820	10
821	6
822	6
823	6
824	8
825	6
826	10
827	6
828	2
829	6
830	6
831	6
832	10
833	8
834	24
835	6
836	22
837	2
838	18
839	4
840	8
841	10
842	30
843	8
844	18
845	4
846	2
847	10
848	6
849	2
850	6
851	4
852	18
853	8
854	12
855	18
856	16
857	6
858	2
859	12
860	6
861	10
862	2
863	10
864	2
865	6
866	10
867	14
868	4
869	24
870	2
871	16
872	2
873	10
874	2
875	10
876	20
877	4
878	2
879	4
880	8
881	16
882	6
883	6
884	2
885	12
886	16
887	8
888	4
889	6
890	30
891	2
892	10
893	2
894	6
895	4
896	6
897	6
898	8
899	6
900	4
901	12
902	6
903	8
904	12
905	4
906	14
907	12
908	10
909	24
910	6
911	12
912	6
913	2
914	22
915	8
916	18
917	10
918	6
919	14
920	4
921	2
922	6
923	10
924	8
925	6
926	4
927	6
928	30
929	14
930	10
931	2
932	12
933	10
934	2
935	16
936	2
937	18
938	24
939	18
940	6
941	16
942	18
943	6
944	2
945	18
946	4
947	6
948	2
949	10
950	8
951	10
952	6
953	6
954	8
955	4
956	6
957	2
958	10
959	2
960	12
961	4
962	6
963	6
964	2
965	12
966	4
967	14
968	18
969	4
970	6
971	20
972	4
973	8
974	6
975	4
976	8
977	4
978	14
979	6
980	4
981	14
982	12
983	4
984	2
985	30
986	4
987	24
988	6
989	6
990	12
991	12
992	14
993	6
994	4
995	2
996	4
997	18
998	6
999	12
1000	8
1001	6
1002	4
1003	12
1004	2
1005	12
1006	30
1007	16
1008	2
1009	6
1010	22
1011	14
1012	6
1013	10
1014	12
1015	6
1016	2
1017	4
1018	8
1019	10
1020	6
1021	6
1022	24
1023	14
1024	6
1025	4
1026	8
1027	12
1028	18
1029	10
1030	2
1031	10
1032	2
1033	4
1034	6
1035	20
1036	6
1037	4
1038	14
1039	4
1040	2
1041	4
1042	14
1043	6
1044	12
1045	24
1046	10
1047	6
1048	8
1049	10
1050	2
1051	30
1052	4
1053	6
1054	2
1055	12
1056	4
1057	14
1058	6
1059	34
1060	12
1061	8
1062	6
1063	10
1064	2
1065	4
1066	20
1067	10
1068	8
1069	16
1070	2
1071	10
1072	14
1073	4
1074	2
1075	12
1076	6
1077	16
1078	6
1079	8
1080	4
1081	8
1082	4
1083	6
1084	8
1085	6
1086	6
1087	12
1088	6
1089	4
1090	6
1091	6
1092	8
1093	18
1094	4
1095	20
1096	4
1097	12
1098	2
1099	10
1100	6
1101	2
1102	10
1103	12
1104	2
1105	4
1106	20
1107	6
1108	30
1109	6
1110	4
1111	8
1112	10
1113	12
1114	6
1115	2
1116	28
1117	2
1118	6
1119	4
1120	2
1121	16
1122	12
1123	2
1124	6
1125	10
1126	8
1127	24
1128	12
1129	6
1130	18
1131	6
1132	4
1133	14
1134	6
1135	4
1136	12
1137	8
1138	6
1139	12
1140	4
1141	6
1142	12
1143	6
1144	12
1145	2
1146	16
1147	20
1148	4
1149	2
1150	10
1151	18
1152	8
1153	4
1154	14
1155	4
1156	2
1157	6
1158	22
1159	6
1160	14
1161	6
1162	6
