n	Σ(1/n^2)
511	1.642978907
512	1.642982721
513	1.642986536
514	1.642990351
515	1.642994165
516	1.642997980
517	1.643001676
518	1.643005371
519	1.643009067
520	1.643012762
521	1.643016458
522	1.643020153
523	1.643023849
524	1.643027544
525	1.643031120
526	1.643034697
527	1.643038273
528	1.643041849
529	1.643045425
530	1.643049002
531	1.643052578
532	1.643056154
533	1.643059731
534	1.643063188
535	1.643066645
536	1.643070102
537	1.643073559
538	1.643077016
539	1.643080473
540	1.643083930
541	1.643087387
542	1.643090844
543	1.643094182
544	1.643097520
545	1.643100858
546	1.643104196
547	1.643107533
548	1.643110871
549	1.643114209
550	1.643117547
551	1.643120885
552	1.643124223
553	1.643127441
554	1.643130660
555	1.643133879
556	1.643137097
557	1.643140316
558	1.643143535
559	1.643146753
560	1.643149972
561	1.643153191
562	1.643156409
563	1.643159509
564	1.643162608
565	1.643165708
566	1.643168807
567	1.643171906
568	1.643175006
569	1.643178105
570	1.643181205
571	1.643184304
572	1.643187404
573	1.643190503
574	1.643193483
575	1.643196464
576	1.643199444
577	1.643202424
578	1.643205404
579	1.643208385
580	1.643211365
581	1.643214345
582	1.643217325
583	1.643220305
584	1.643223286
585	1.643226266
586	1.643229127
587	1.643231988
588	1.643234849
589	1.643237710
590	1.643240571
591	1.643243432
592	1.643246293
593	1.643249154
594	1.643252015
595	1.643254876
596	1.643257737
597	1.643260598
598	1.643263340
599	1.643266082
600	1.643268824
601	1.643271565
602	1.643274307
603	1.643277049
604	1.643279791
605	1.643282533
606	1.643285275
607	1.643288016
608	1.643290758
609	1.643293500
610	1.643296242
611	1.643298864
612	1.643301487
613	1.643304110
614	1.643306732
615	1.643309355
616	1.643311977
617	1.643314600
618	1.643317223
619	1.643319845
620	1.643322468
621	1.643325090
622	1.643327713
623	1.643330336
624	1.643332958
625	1.643335462
626	1.643337965
627	1.643340468
628	1.643342972
629	1.643345475
630	1.643347979
631	1.643350482
632	1.643352985
633	1.643355489
634	1.643357992
635	1.643360496
636	1.643362999
637	1.643365502
638	1.643368006
639	1.643370509
640	1.643372893
641	1.643375278
642	1.643377662
643	1.643380046
644	1.643382430
645	1.643384814
646	1.643387198
647	1.643389583
648	1.643391967
649	1.643394351
650	1.643396735
651	1.643399119
652	1.643401504
653	1.643403888
654	1.643406272
655	1.643408656
656	1.643410921
657	1.643413186
658	1.643415451
659	1.643417716
660	1.643419981
661	1.643422246
662	1.643424511
663	1.643426776
664	1.643429041
665	1.643431306
666	1.643433571
667	1.643435836
668	1.643438101
669	1.643440366
670	1.643442631
671	1.643444896
672	1.643447161
673	1.643449426
674	1.643451571
675	1.643453717
676	1.643455863
677	1.643458009
678	1.643460155
679	1.643462300
680	1.643464446
681	1.643466592
682	1.643468738
683	1.643470883
684	1.643473029
685	1.643475175
686	1.643477321
687	1.643479466
688	1.643481612
689	1.643483758
690	1.643485904
691	1.643488050
692	1.643490195
693	1.643492222
694	1.643494248
695	1.643496275
696	1.643498302
697	1.643500328
698	1.643502355
699	1.643504381
700	1.643506408
701	1.643508434
702	1.643510461
703	1.643512487
704	1.643514514
705	1.643516541
706	1.643518567
707	1.643520594
708	1.643522620
709	1.643524647
710	1.643526673
711	1.643528700
712	1.643530726
713	1.643532753
714	1.643534660
715	1.643536568
716	1.643538475
717	1.643540382
718	1.643542290
719	1.643544197
720	1.643546104
721	1.643548012
722	1.643549919
723	1.643551826
724	1.643553734
725	1.643555641
726	1.643557549
727	1.643559456
728	1.643561363
729	1.643563271
730	1.643565178
731	1.643567085
732	1.643568993
733	1.643570900
734	1.643572807
735	1.643574715
736	1.643576503
737	1.643578291
738	1.643580079
739	1.643581867
740	1.643583655
741	1.643585443
742	1.643587232
743	1.643589020
744	1.643590808
745	1.643592596
746	1.643594384
747	1.643596172
748	1.643597960
749	1.643599749
750	1.643601537
751	1.643603325
752	1.643605113
753	1.643606901
754	1.643608689
755	1.643610477
756	1.643612266
757	1.643614054
758	1.643615842
759	1.643617630
760	1.643619418
761	1.643621087
762	1.643622756
763	1.643624425
764	1.643626094
765	1.643627763
766	1.643629432
767	1.643631101
768	1.643632770
769	1.643634439
770	1.643636107
771	1.643637776
772	1.643639445
773	1.643641114
774	1.643642783
775	1.643644452
776	1.643646121
777	1.643647790
778	1.643649459
779	1.643651128
780	1.643652797
781	1.643654466
782	1.643656135
783	1.643657804
784	1.643659472
785	1.643661141
786	1.643662810
787	1.643664479
788	1.643666148
789	1.643667698
790	1.643669248
791	1.643670797
792	1.643672347
793	1.643673897
794	1.643675447
795	1.643676996
796	1.643678546
797	1.643680096
798	1.643681645
799	1.643683195
800	1.643684745
801	1.643686295
802	1.643687844
803	1.643689394
804	1.643690944
805	1.643692493
806	1.643694043
807	1.643695593
808	1.643697143
809	1.643698692
810	1.643700242
811	1.643701792
812	1.643703341
813	1.643704891
814	1.643706441
815	1.643707991
816	1.643709540
817	1.643711090
818	1.643712640
819	1.643714190
820	1.643715620
821	1.643717051
822	1.643718481
823	1.643719912
824	1.643721342
825	1.643722773
826	1.643724203
827	1.643725634
828	1.643727064
829	1.643728495
830	1.643729925
831	1.643731356
832	1.643732786
833	1.643734217
834	1.643735647
835	1.643737078
836	1.643738508
837	1.643739939
838	1.643741369
839	1.643742800
840	1.643744230
841	1.643745661
842	1.643747091
843	1.643748522
844	1.643749952
845	1.643751383
846	1.643752813
847	1.643754244
848	1.643755674
849	1.643757105
850	1.643758535
851	1.643759966
852	1.643761396
853	1.643762827
854	1.643764257
855	1.643765569
856	1.643766880
857	1.643768191
858	1.643769503
859	1.643770814
860	1.643772125
861	1.643773437
862	1.643774748
863	1.643776059
864	1.643777370
865	1.643778682
866	1.643779993
867	1.643781304
868	1.643782616
869	1.643783927
870	1.643785238
871	1.643786550
872	1.643787861
873	1.643789172
874	1.643790483
875	1.643791795
876	1.643793106
877	1.643794417
878	1.643795729
879	1.643797040
880	1.643798351
881	1.643799663
882	1.643800974
883	1.643802285
884	1.643803596
885	1.643804908
886	1.643806219
887	1.643807530
888	1.643808842
889	1.643810153
890	1.643811464
891	1.643812776
892	1.643814087
893	1.643815398
894	1.643816590
895	1.643817782
896	1.643818974
897	1.643820167
898	1.643821359
899	1.643822551
900	1.643823743
901	1.643824935
902	1.643826127
903	1.643827319
904	1.643828511
905	1.643829703
906	1.643830895
907	1.643832088
908	1.643833280
909	1.643834472
910	1.643835664
911	1.643836856
912	1.643838048
913	1.643839240
914	1.643840432
915	1.643841624
916	1.643842816
917	1.643844008
918	1.643845201
919	1.643846393
920	1.643847585
921	1.643848777
922	1.643849969
923	1.643851161
924	1.643852353
925	1.643853545
926	1.643854737
927	1.643855929
928	1.643857121
929	1.643858314
930	1.643859506
931	1.643860698
932	1.643861890
933	1.643863082
934	1.643864274
935	1.643865466
936	1.643866658
937	1.643867850
938	1.643869042
939	1.643870234
940	1.643871307
941	1.643872380
942	1.643873453
943	1.643874526
944	1.643875599
945	1.643876672
946	1.643877745
947	1.643878818
948	1.643879890
949	1.643880963
950	1.643882036
951	1.643883109
952	1.643884182
953	1.643885255
954	1.643886328
955	1.643887401
956	1.643888474
957	1.643889546
958	1.643890619
959	1.643891692
960	1.643892765
961	1.643893838
962	1.643894911
963	1.643895984
964	1.643897057
965	1.643898129
966	1.643899202
967	1.643900275
968	1.643901348
969	1.643902421
970	1.643903494
971	1.643904567
972	1.643905640
973	1.643906713
974	1.643907785
975	1.643908858
976	1.643909931
977	1.643911004
978	1.643912077
979	1.643913150
980	1.643914223
981	1.643915296
982	1.643916368
983	1.643917441
984	1.643918514
985	1.643919587
986	1.643920660
987	1.643921733
988	1.643922806
989	1.643923879
990	1.643924952
991	1.643926024
992	1.643927097
993	1.643928170
994	1.643929124
