Time	VCH1
µs	mV
0.8	-132.0
0.8	-134.0
0.8	-136.0
0.8	-138.0
1.2	-136.0
1.2	-138.0
1.2	-140.0
1.2	-142.0
1.2	-144.0
1.6	-142.0
1.6	-144.0
1.6	-146.0
1.6	-148.0
2.0	-146.0
2.0	-148.0
2.0	-150.0
2.4	-148.0
2.4	-150.0
2.4	-152.0
2.4	-154.0
2.8	-152.0
2.8	-154.0
2.8	-156.0
2.8	-158.0
3.2	-156.0
3.2	-158.0
3.2	-160.0
3.2	-162.0
3.6	-160.0
3.6	-162.0
3.6	-164.0
4.0	-162.0
4.0	-164.0
4.0	-166.0
4.0	-168.0
4.4	-166.0
4.4	-168.0
4.4	-170.0
4.8	-168.0
4.8	-170.0
4.8	-172.0
4.8	-174.0
5.2	-172.0
5.2	-174.0
5.2	-176.0
5.2	-178.0
5.6	-176.0
5.6	-178.0
5.6	-180.0
5.6	-182.0
6.0	-180.0
6.0	-182.0
6.0	-184.0
6.4	-182.0
6.4	-184.0
6.4	-186.0
6.8	-184.0
6.8	-186.0
6.8	-188.0
6.8	-190.0
7.2	-188.0
7.2	-190.0
7.2	-192.0
7.6	-190.0
7.6	-192.0
7.6	-194.0
8.0	-192.0
8.0	-194.0
8.0	-196.0
8.4	-194.0
8.4	-196.0
8.4	-198.0
8.4	-200.0
8.8	-198.0
8.8	-200.0
8.8	-202.0
9.2	-200.0
9.2	-202.0
9.2	-204.0
9.6	-202.0
9.6	-204.0
9.6	-206.0
10.0	-204.0
10.0	-206.0
10.0	-208.0
10.4	-206.0
10.4	-208.0
10.4	-210.0
10.8	-208.0
10.8	-210.0
10.8	-212.0
11.2	-210.0
11.2	-212.0
11.6	-210.0
11.6	-212.0
12.0	-210.0
12.0	-212.0
12.0	-214.0
12.4	-212.0
12.4	-214.0
12.4	-216.0
12.8	-214.0
12.8	-216.0
12.8	-218.0
13.2	-216.0
13.2	-218.0
13.6	-214.0
13.6	-216.0
13.6	-218.0
14.0	-214.0
14.0	-216.0
14.4	-214.0
14.4	-216.0
14.4	-218.0
14.8	-214.0
14.8	-216.0
15.2	-212.0
15.2	-214.0
15.2	-216.0
15.6	-212.0
15.6	-214.0
16.0	-210.0
16.0	-212.0
16.0	-214.0
16.4	-208.0
16.4	-210.0
16.4	-212.0
16.8	-204.0
16.8	-206.0
16.8	-208.0
16.8	-210.0
17.2	-202.0
17.2	-204.0
17.2	-206.0
17.6	-202.0
17.6	-204.0
18.0	-200.0
18.0	-202.0
18.0	-204.0
18.4	-196.0
18.4	-198.0
18.4	-200.0
18.4	-202.0
18.8	-194.0
18.8	-196.0
18.8	-198.0
19.2	-190.0
19.2	-192.0
19.2	-194.0
19.2	-196.0
19.6	-190.0
19.6	-192.0
20.0	-188.0
20.0	-190.0
20.0	-192.0
20.4	-182.0
20.4	-184.0
20.4	-186.0
20.4	-188.0
20.4	-190.0
20.8	-178.0
20.8	-180.0
20.8	-182.0
20.8	-184.0
21.2	-176.0
21.2	-178.0
21.2	-180.0
21.6	-174.0
21.6	-176.0
21.6	-178.0
22.0	-170.0
22.0	-172.0
22.0	-174.0
22.0	-176.0
22.4	-168.0
22.4	-170.0
22.4	-172.0
22.8	-166.0
22.8	-168.0
22.8	-170.0
23.2	-162.0
23.2	-164.0
23.2	-166.0
23.2	-168.0
23.6	-158.0
23.6	-160.0
23.6	-162.0
23.6	-164.0
24.0	-154.0
24.0	-156.0
24.0	-158.0
24.0	-160.0
24.4	-150.0
24.4	-152.0
24.4	-154.0
24.4	-156.0
24.8	-146.0
24.8	-148.0
24.8	-150.0
24.8	-152.0
25.2	-144.0
25.2	-146.0
25.2	-148.0
25.6	-142.0
25.6	-144.0
25.6	-146.0
26.0	-138.0
26.0	-140.0
26.0	-142.0
26.0	-144.0
26.4	-132.0
26.4	-134.0
26.4	-136.0
26.4	-138.0
26.4	-140.0
26.8	-128.0
26.8	-130.0
26.8	-132.0
26.8	-134.0
27.2	-124.0
27.2	-126.0
27.2	-128.0
27.2	-130.0
27.6	-122.0
27.6	-124.0
27.6	-126.0
28.0	-118.0
28.0	-120.0
28.0	-122.0
28.0	-124.0
28.4	-110.0
28.4	-112.0
28.4	-114.0
28.4	-116.0
28.4	-118.0
28.4	-120.0
28.8	-106.0
28.8	-108.0
28.8	-110.0
28.8	-112.0
29.2	-104.0
29.2	-106.0
29.2	-108.0
29.2	-110.0
29.6	-100.0
29.6	-102.0
29.6	-104.0
29.6	-106.0
30.0	-98.0
30.0	-100.0
30.0	-102.0
30.4	-92.0
30.4	-94.0
30.4	-96.0
30.4	-98.0
30.4	-100.0
30.8	-88.0
30.8	-90.0
30.8	-92.0
30.8	-94.0
31.2	-82.0
31.2	-84.0
31.2	-86.0
31.2	-88.0
31.2	-90.0
31.6	-78.0
31.6	-80.0
31.6	-82.0
31.6	-84.0
32.0	-74.0
32.0	-76.0
32.0	-78.0
32.0	-80.0
32.4	-70.0
32.4	-72.0
32.4	-74.0
32.4	-76.0
32.8	-64.0
32.8	-66.0
32.8	-68.0
32.8	-70.0
32.8	-72.0
33.2	-60.0
33.2	-62.0
33.2	-64.0
33.2	-66.0
33.6	-62.0
34.0	-52.0
34.0	-54.0
34.0	-56.0
34.4	-48.0
34.4	-50.0
34.4	-52.0
34.4	-54.0
34.8	-42.0
34.8	-44.0
34.8	-46.0
34.8	-48.0
34.8	-50.0
35.2	-36.0
35.2	-38.0
35.2	-40.0
35.2	-42.0
35.2	-44.0
35.6	-32.0
35.6	-34.0
35.6	-36.0
35.6	-38.0
36.0	-30.0
36.0	-32.0
36.0	-34.0
36.4	-26.0
36.4	-28.0
36.4	-30.0
36.4	-32.0
36.8	-20.0
36.8	-22.0
36.8	-24.0
36.8	-26.0
36.8	-28.0
37.2	-14.0
37.2	-16.0
37.2	-18.0
37.2	-20.0
37.2	-22.0
37.6	-10.0
37.6	-12.0
37.6	-14.0
37.6	-16.0
38.0	-6.0
38.0	-8.0
38.0	-10.0
38.0	-12.0
38.4	-2.0
38.4	-4.0
