Time	VCH1
µs	mV
0.8	-152.0
0.8	-154.0
0.8	-156.0
0.8	-158.0
0.8	-160.0
1.2	-158.0
1.2	-160.0
1.2	-162.0
1.2	-164.0
1.6	-162.0
1.6	-164.0
1.6	-166.0
1.6	-168.0
2.0	-166.0
2.0	-168.0
2.0	-170.0
2.4	-168.0
2.4	-170.0
2.4	-172.0
2.4	-174.0
2.8	-172.0
2.8	-174.0
2.8	-176.0
2.8	-178.0
3.2	-176.0
3.2	-178.0
3.2	-180.0
3.2	-182.0
3.6	-180.0
3.6	-182.0
3.6	-184.0
3.6	-186.0
4.0	-184.0
4.0	-186.0
4.0	-188.0
4.0	-190.0
4.4	-188.0
4.4	-190.0
4.4	-192.0
4.8	-190.0
4.8	-192.0
4.8	-194.0
5.2	-192.0
5.2	-194.0
5.2	-196.0
5.2	-198.0
5.6	-196.0
5.6	-198.0
5.6	-200.0
5.6	-202.0
6.0	-200.0
6.0	-202.0
6.0	-204.0
6.4	-200.0
6.4	-202.0
6.4	-204.0
6.4	-206.0
6.8	-204.0
6.8	-206.0
6.8	-208.0
6.8	-210.0
7.2	-208.0
7.2	-210.0
7.2	-212.0
7.2	-214.0
7.6	-212.0
7.6	-214.0
7.6	-216.0
8.0	-214.0
8.0	-216.0
8.4	-214.0
8.4	-216.0
8.4	-218.0
8.8	-216.0
8.8	-218.0
8.8	-220.0
9.2	-218.0
9.2	-220.0
9.2	-222.0
9.6	-220.0
9.6	-222.0
9.6	-224.0
10.0	-222.0
10.0	-224.0
10.0	-226.0
10.4	-222.0
10.4	-224.0
10.4	-226.0
10.8	-224.0
10.8	-226.0
10.8	-228.0
10.8	-230.0
11.2	-228.0
11.2	-230.0
11.2	-232.0
11.2	-234.0
11.6	-230.0
11.6	-232.0
12.0	-230.0
12.0	-232.0
12.4	-230.0
12.4	-232.0
12.8	-228.0
12.8	-230.0
12.8	-232.0
13.2	-226.0
13.2	-228.0
13.2	-230.0
13.6	-228.0
13.6	-230.0
13.6	-232.0
13.6	-234.0
14.0	-230.0
14.0	-232.0
14.0	-234.0
14.0	-236.0
14.4	-226.0
14.4	-228.0
14.4	-230.0
14.4	-232.0
14.8	-224.0
14.8	-226.0
14.8	-228.0
15.2	-222.0
15.2	-224.0
15.2	-226.0
15.6	-220.0
15.6	-222.0
15.6	-224.0
16.0	-218.0
16.0	-220.0
16.0	-222.0
16.4	-216.0
16.4	-218.0
16.4	-220.0
16.8	-216.0
16.8	-218.0
17.2	-214.0
17.2	-216.0
17.2	-218.0
17.6	-210.0
17.6	-212.0
17.6	-214.0
17.6	-216.0
18.0	-206.0
18.0	-208.0
18.0	-210.0
18.0	-212.0
18.4	-204.0
18.4	-206.0
18.4	-208.0
18.8	-202.0
18.8	-204.0
18.8	-206.0
19.2	-198.0
19.2	-200.0
19.2	-202.0
19.2	-204.0
19.6	-196.0
19.6	-198.0
19.6	-200.0
20.0	-192.0
20.0	-194.0
20.0	-196.0
20.0	-198.0
20.4	-190.0
20.4	-192.0
20.4	-194.0
20.8	-188.0
20.8	-190.0
20.8	-192.0
21.2	-182.0
21.2	-184.0
21.2	-186.0
21.2	-188.0
21.2	-190.0
21.6	-178.0
21.6	-180.0
21.6	-182.0
21.6	-184.0
22.0	-172.0
22.0	-174.0
22.0	-176.0
22.0	-178.0
22.0	-180.0
22.4	-170.0
22.4	-172.0
22.4	-174.0
22.8	-170.0
22.8	-172.0
23.2	-164.0
23.2	-166.0
23.2	-168.0
23.2	-170.0
23.2	-172.0
23.6	-158.0
23.6	-160.0
23.6	-162.0
23.6	-164.0
23.6	-166.0
24.0	-154.0
24.0	-156.0
24.0	-158.0
24.0	-160.0
24.4	-150.0
24.4	-152.0
24.4	-154.0
24.4	-156.0
24.8	-146.0
24.8	-148.0
24.8	-150.0
24.8	-152.0
25.2	-144.0
25.2	-146.0
25.2	-148.0
25.6	-138.0
25.6	-140.0
25.6	-142.0
25.6	-144.0
25.6	-146.0
26.0	-134.0
26.0	-136.0
26.0	-138.0
26.0	-140.0
26.4	-132.0
26.4	-134.0
26.4	-136.0
26.8	-128.0
26.8	-130.0
26.8	-132.0
26.8	-134.0
27.2	-124.0
27.2	-126.0
27.2	-128.0
27.2	-130.0
27.6	-118.0
27.6	-120.0
27.6	-122.0
27.6	-124.0
27.6	-126.0
28.0	-114.0
28.0	-116.0
28.0	-118.0
28.0	-120.0
28.4	-110.0
28.4	-112.0
28.4	-114.0
28.4	-116.0
28.8	-106.0
28.8	-108.0
28.8	-110.0
28.8	-112.0
29.2	-100.0
29.2	-102.0
29.2	-104.0
29.2	-106.0
29.2	-108.0
29.6	-96.0
29.6	-98.0
29.6	-100.0
29.6	-102.0
30.0	-90.0
30.0	-92.0
30.0	-94.0
30.0	-96.0
30.0	-98.0
30.4	-86.0
30.4	-88.0
30.4	-90.0
30.4	-92.0
30.8	-82.0
30.8	-84.0
30.8	-86.0
30.8	-88.0
31.2	-76.0
31.2	-78.0
31.2	-80.0
31.2	-82.0
31.2	-84.0
31.6	-70.0
31.6	-72.0
31.6	-74.0
31.6	-76.0
31.6	-78.0
32.0	-66.0
32.0	-68.0
32.0	-70.0
32.0	-72.0
32.4	-62.0
32.4	-64.0
32.4	-66.0
32.4	-68.0
32.8	-56.0
32.8	-58.0
32.8	-60.0
32.8	-62.0
32.8	-64.0
33.2	-52.0
33.2	-54.0
33.2	-56.0
33.2	-58.0
33.6	-46.0
33.6	-48.0
33.6	-50.0
33.6	-52.0
33.6	-54.0
34.0	-40.0
34.0	-42.0
34.0	-44.0
34.0	-46.0
34.0	-48.0
34.4	-38.0
34.4	-40.0
34.4	-42.0
34.8	-34.0
34.8	-36.0
34.8	-38.0
34.8	-40.0
35.2	-28.0
35.2	-30.0
35.2	-32.0
35.2	-34.0
35.2	-36.0
35.6	-22.0
35.6	-24.0
35.6	-26.0
35.6	-28.0
35.6	-30.0
36.0	-12.0
36.0	-14.0
36.0	-16.0
36.0	-18.0
36.0	-20.0
36.0	-22.0
36.0	-24.0
36.4	-8.0
36.4	-10.0
36.4	-12.0
36.4	-14.0
36.8	-8.0
36.8	-10.0
36.8	-12.0
37.2	-4.0
37.2	-6.0
37.2	-8.0
37.2	-10.0
37.6	2.0
37.6	0.0
37.6	-2.0
37.6	-4.0
37.6	-6.0
38.0	8.0
38.0	6.0
38.0	4.0
38.0	2.0
38.0	0.0
38.4	12.0
38.4	10.0
38.4	8.0
38.4	6.0
38.8	18.0
38.8	16.0
38.8	14.0
38.8	12.0
38.8	10.0
39.2	24.0
39.2	22.0
39.2	20.0
39.2	18.0
39.2	16.0
39.6	28.0
39.6	26.0
39.6	24.0
39.6	22.0
40.0	34.0
40.0	32.0
40.0	30.0
40.0	28.0
40.0	26.0
40.4	38.0
40.4	36.0
40.4	34.0
40.4	32.0
40.8	42.0
40.8	40.0
40.8	38.0
40.8	36.0
41.2	46.0
41.2	44.0
41.2	42.0
41.2	40.0
41.6	54.0
41.6	52.0
41.6	50.0
41.6	48.0
41.6	46.0
41.6	44.0
42.0	58.0
42.0	56.0
42.0	54.0
42.0	52.0
42.4	60.0
42.4	58.0
42.4	56.0
42.8	64.0
42.8	62.0
42.8	60.0
42.8	58.0
43.2	70.0
43.2	68.0
43.2	66.0
43.2	64.0
43.2	62.0
43.6	76.0
43.6	74.0
43.6	72.0
43.6	70.0
43.6	68.0
44.0	82.0
44.0	80.0
44.0	78.0
44.0	76.0
44.0	74.0
44.4	86.0
44.4	84.0
44.4	82.0
44.4	80.0
44.8	88.0
44.8	86.0
44.8	84.0
45.2	94.0
45.2	92.0
45.2	90.0
45.2	88.0
45.2	86.0
45.6	98.0
45.6	96.0
45.6	94.0
45.6	92.0
46.0	104.0
46.0	102.0
46.0	100.0
46.0	98.0
46.0	96.0
46.4	108.0
46.4	106.0
46.4	104.0
46.4	102.0
46.8	112.0
46.8	110.0
46.8	108.0
46.8	106.0
