V_{DS}	I_D
	V_{GS} = 3.00 V
V	mA
0.012	0.002
0.0122	0.003
0.1023	0.047
0.0677	0.04
0.1792	0.055
0.242	0.058
0.335	0.062
0.417	0.064
0.514	0.066
0.799	0.071
1.002	0.073
1.22	0.074
1.366	0.076
1.463	0.077
1.704	0.079
2.51	0.075
2.83	0.077
3.15	0.078
1.27	0.07
1.36	0.071
1.51	0.072
1.71	0.073
2.13	0.075
2.51	0.077
3.13	0.079
4	0.081
5.02	0.082
5.87	0.084
6.69	0.085
7.69	0.086
8.75	0.088
9.48	0.089
10.61	0.09
11.87	0.092
12.84	0.093
14.45	0.095
16.39	0.098
17.67	0.099
18.88	0.101
19.8	0.102
20.7	0.103
22.8	0.106
25.1	0.11
26.8	0.113
28.1	0.115
29.1	0.116
30.7	0.12
0.036	0.037
0.149	0.059
0.275	0.063
0.528	0.066
0.564	0.069
1.138	0.071
1.438	0.075
1.617	0.076
3.16	0.081
2.52	0.08
1.18	0.068
1.19	0.074
2.92	0.077
3.73	0.078
4.16	0.078
6.74	0.085
4.34	0.082
5.35	0.083
6.25	0.085
7.15	0.086
8.31	0.087
9.27	0.089
10.06	0.09
11.17	0.091
12.32	0.092
13.65	0.094
14.27	0.095
15.26	0.096
16.95	0.098
17.56	0.099
18.31	0.1
19.43	0.101
20.5	0.103
21.7	0.104
24.2	0.105
25	0.107
26.1	0.108
27.1	0.11
28	0.111
29	0.113
30.4	0.115
30.7	0.116
