V_{DS}	I_D
	V_{GS} = 3.60 V
V	mA	
0.0002	0.123
0.0049	1.392
0.0072	1.977
0.0009	0.117
0.0211	1.961
0.0482	3.403
0.0566	3.8
0.1705	5.66
0.479	6.8
0.703	7.15
0.833	7.52
1.262	7.9
1.434	8.04
1.941	8.49
2.5	8.54
2.82	8.66
3.46	8.85
4.44	8.99
5.61	9.15
6.62	9.24
7.46	9.36
8.1	9.44
9.48	9.6
10.73	9.73
11.94	9.89
13.7	10.09
15.58	10.32
18.25	10.76
20.7	10.18
20.5	12.58
22.7	13.03
24.9	13.56
27.1	14.25
29	15.1
