V_{DS}	I_D
	V_{GS} = 3.40 V
V	mA	
0.0028	0.086
0.0032	0.095
0.0881	1.14
0.1498	1.359
0.391	1.64
0.377	1.569
0.291	1.526
0.249	1.491
0.201	1.442
0.459	1.643
0.786	1.759
0.559	1.694
0.852	1.786
1.065	1.838
1.117	1.85
1.239	1.874
2.11	1.992
1.92	1.84
3.15	1.931
4.22	1.972
5.05	1.99
6.06	2.02
7.24	2.018
8.3	2.035
9.38	2.051
10.36	2.065
11.09	2.078
12.25	2.09
13.24	2.11
14.37	2.121
15.16	2.145
16.33	2.16
17.28	2.171
18.27	2.184
19.52	2.206
20.7	2.23
22.1	2.249
24,.2	2.28
25	2.3
26	2.322
27.2	2.349
28.5	2.397
30.4	2.45
