V_{DS}	I_D
	V_{GS} = 3.50 V
V	mA	
0.0016	0.1201588877855
0.0078	0.5431976166832
0.0995	2.996027805362
0.204	3.604766633565
0.312	3.885799404171
0.399	4.038728897716
0.613	4.280039721946
0.788	4.41906653426
0.912	4.501489572989
1.007	4.559086395233
1.569	4.808341608739
1.938	4.93545183714
2.07	4.98411122145
2.6	5.104270109235
2.97	5.203574975174
3.26	5.283018867925
3.53	5.312810327706
4.08	5.382323733863
4.5	5.45183714002
5.01	5.511420059583
5.5	5.561072492552
6.06	5.630585898709
6.5	5.71002979146
7.03	5.759682224429
7.52	5.829195630586
8.02	5.858987090367
8.51	5.928500496524
9.14	5.978152929494
9.49	6.037735849057
10.02	6.09731876862
10.96	6.186693147964
12.01	6.276067527309
13	6.35551142006
14.1	6.474677259186
15.09	6.593843098312
16.01	6.881827209533
17.03	7.477656405164
