V_{DS}	I_D
	V_{GS} = 3.15 V
V	mA
0.0095	0.04
0.0097	0.041
0.01	0.042
0.1331	0.186
0.845	0.243
0.217	0.207
0.227	0.209
0.561	0.235
0.348	0.223
0.842	0.248
1.14	0.254
1.441	0.264
3.05	0.284
4.03	0.29
5.35	0.294
7.94	0.3
9.59	0.304
12.45	0.309
14.54	0.314
17.5	0.32
19.9	0.327
22.8	0.334
26.4	0.343
30.7	0.359
	
	
	
	
	
	
