0.01000000 0.00007793
0.06040404 0.01717049
0.11080808 0.10071998
0.16121212 0.24832005
0.21161616 0.40243269
0.26202020 0.53087836
0.31242424 0.62946488
0.36282828 0.70341560
0.41323232 0.75896234
0.46363636 0.80114932
0.51404040 0.83365761
0.56444444 0.85909140
0.61484848 0.87928538
0.66525253 0.89554139
0.71565657 0.90879420
0.76606061 0.91972432
0.81646465 0.92883424
0.86686869 0.93650014
0.91727273 0.94300742
0.96767677 0.94857532
1.01808081 0.95337423
1.06848485 0.95753804
1.11888889 0.96117301
1.16929293 0.96436427
1.21969697 0.96718063
1.27010101 0.96967818
1.32050505 0.97190296
1.37090909 0.97389304
1.42131313 0.97568011
1.47171717 0.97729074
1.52212121 0.97874730
1.57252525 0.98006872
1.62292929 0.98127116
1.67333333 0.98236842
1.72373737 0.98337237
1.77414141 0.98429326
1.82454545 0.98513998
1.87494949 0.98592025
1.92535354 0.98664083
1.97575758 0.98730764
2.02616162 0.98792588
2.07656566 0.98850014
2.12696970 0.98903449
2.17737374 0.98953254
2.22777778 0.98999749
2.27818182 0.99043220
2.32858586 0.99083923
2.37898990 0.99122089
2.42939394 0.99157923
2.47979798 0.99191611
2.53020202 0.99223321
2.58060606 0.99253204
2.63101010 0.99281398
2.68141414 0.99308027
2.73181818 0.99333206
2.78222222 0.99357037
2.83262626 0.99379615
2.88303030 0.99401025
2.93343434 0.99421348
2.98383838 0.99440655
3.03424242 0.99459013
3.08464646 0.99476482
3.13505051 0.99493120
3.18545455 0.99508978
3.23585859 0.99524105
3.28626263 0.99538543
3.33666667 0.99552335
3.38707071 0.99565519
3.43747475 0.99578129
3.48787879 0.99590198
3.53828283 0.99601758
3.58868687 0.99612835
3.63909091 0.99623457
3.68949495 0.99633649
3.73989899 0.99643432
3.79030303 0.99652829
3.84070707 0.99661860
3.89111111 0.99670543
3.94151515 0.99678896
3.99191919 0.99686935
4.04232323 0.99694677
4.09272727 0.99702135
4.14313131 0.99709324
4.19353535 0.99716255
4.24393939 0.99722942
4.29434343 0.99729395
4.34474747 0.99735625
4.39515152 0.99741643
4.44555556 0.99747458
4.49595960 0.99753079
4.54636364 0.99758514
4.59676768 0.99763772
4.64717172 0.99768860
4.69757576 0.99773786
4.74797980 0.99778556
4.79838384 0.99783176
4.84878788 0.99787654
4.89919192 0.99791994
4.94959596 0.99796203
5.00000000 0.99800285
