 -------------------
|2023-09-04 02:13:35|
 -------------------
tau (ms)	T (ms)
2.0	8.0
5.0	8.0
 -------------------
|2023-09-04 02:14:18|
 -------------------
tau (ms)	T (ms)
5.0	8.0
1.0	5.0
1.0	17.0
