Energy	 Transmission
pHEMA_30%H2O
meV	 
3.000000	0.364605
3.150000	0.369282
3.307500	0.369558
3.472875	0.379325
3.646519	0.373203
3.828845	0.378511
4.020287	0.385848
4.221301	0.386155
4.432366	0.392279
4.653985	0.394696
4.886684	0.401291
5.131018	0.399905
5.387569	0.407660
5.656947	0.413258
5.939795	0.413862
6.236785	0.418277
6.548624	0.420596
6.876055	0.425096
7.219858	0.426872
7.580851	0.430255
7.959893	0.432152
8.357888	0.437224
8.775782	0.440359
9.214571	0.445451
9.675300	0.448628
10.159065	0.451615
10.667018	0.456504
11.200369	0.460851
11.760387	0.465081
12.348407	0.467659
12.965827	0.470751
13.614118	0.475978
14.294824	0.478549
15.009566	0.486209
15.760044	0.487900
16.548046	0.493274
17.375448	0.498453
18.244221	0.501956
19.156432	0.505843
20.114253	0.513239
21.119966	0.516439
22.175964	0.522399
23.284763	0.526294
24.449001	0.533279
25.671451	0.539009
26.955023	0.544622
28.302775	0.549331
29.717913	0.554327
31.203809	0.559538
32.763999	0.566537
34.402199	0.571230
36.122309	0.575830
37.928425	0.581246
39.824846	0.586471
41.816088	0.590991
43.906893	0.596942
46.102237	0.601346
48.407349	0.605880
50.827717	0.610684
53.369103	0.617215
56.037558	0.619995
58.839436	0.626041
61.781407	0.630870
64.870478	0.636823
68.114002	0.638636
71.519702	0.644056
75.095687	0.648780
78.850471	0.652662
82.792995	0.658855
86.932644	0.662943
91.279277	0.666982
95.843240	0.671063
100.635402	0.671298
105.667173	0.676880
110.950531	0.681617
116.498058	0.688705
122.322961	0.690983
128.439109	0.697622
134.861064	0.698261
141.604117	0.700171
148.684323	0.704517
156.118539	0.710043
163.924466	0.708928
172.120690	0.713851
180.726724	0.713912
189.763060	0.717018
199.251213	0.719274
209.213774	0.722283
219.674463	0.723992
230.658186	0.723861
242.191095	0.726714
254.300650	0.731309
267.015682	0.735255
280.366467	0.736365
294.384790	0.738023
309.104029	0.741135
324.559231	0.746936
340.787192	0.751238
357.826552	0.750299
375.717880	0.747284
394.503774	0.747596
414.228962	0.755546
434.940410	0.751332
456.687431	0.754850
479.521802	0.754725
503.497893	0.755693
528.672787	0.759971
555.106426	0.759368
582.861748	0.759205
612.004835	0.759105
642.605077	0.754512
674.735331	0.763356
708.472097	0.763775
743.895702	0.759920
781.090487	0.762879
820.145012	0.764231
861.152262	0.768961
904.209875	0.763037
949.420369	0.763499
996.891388	0.761870
1046.735957	0.762784
1099.072755	0.760805
1154.026393	0.768603
1211.727712	0.762457
1272.314098	0.764571
1335.929803	0.765386
1402.726293	0.769683
1472.862608	0.770881
1546.505738	0.772122
1623.831025	0.770229
1705.022576	0.767437
1790.273705	0.767931
1879.787390	0.771469
1973.776760	0.767693
2072.465598	0.772374
2176.088877	0.773480
2284.893321	0.770084
2399.137987	0.772766
2519.094887	0.773787
2645.049631	0.776299
2777.302113	0.770160
2916.167218	0.776887
3061.975579	0.775381
3215.074358	0.773695
3375.828076	0.772819
3544.619480	0.778728
3721.850454	0.776929
3907.942976	0.769260
4103.340125	0.781213
4308.507132	0.779588
4523.932488	0.774284
4750.129113	0.772588
4987.635568	0.775321
5237.017347	0.775416
5498.868214	0.767654
5773.811625	0.775202
6062.502206	0.773089
6365.627316	0.775531
6683.908682	0.776036
7018.104116	0.772193
7369.009322	0.776977
7737.459788	0.766886
8124.332777	0.777537
8530.549416	0.775221
8957.076887	0.780929
9404.930731	0.776129
9875.177268	0.771576
10368.936131	0.776383
10887.382938	0.782129
11431.752085	0.768414
12003.339689	0.779021
12603.506674	0.777931
13233.682007	0.781264
13895.366108	0.776675
14590.134413	0.775833
15319.641134	0.777189
16085.623190	0.772419
16889.904350	0.777122
17734.399567	0.781863
18621.119546	0.769648
19552.175523	0.773653
20529.784299	0.773610
21556.273514	0.773386
22634.087190	0.771614
23765.791549	0.779841
24954.081127	0.772237
26201.785183	0.777927
27511.874442	0.780134
28887.468164	0.780228
30331.841572	0.777651
31848.433651	0.778619
33440.855334	0.780355
35112.898100	0.774783
36868.543005	0.786610
38711.970156	0.788763
40647.568663	0.783792
42679.947097	0.775091
44813.944451	0.780423
47054.641674	0.768058
49407.373758	0.767120
51877.742445	0.780685
54471.629568	0.769313
57195.211046	0.774041
60054.971598	0.775952
63057.720178	0.775809
66210.606187	0.779962
69521.136497	0.774115
72997.193321	0.784703
76647.052988	0.774343
80479.405637	0.765451
84503.375919	0.787824
88728.544715	0.774150
93164.971950	0.763080
97823.220548	0.773768
102714.381575	0.782688
107850.100654	0.781098
113242.605687	0.786969
118904.735971	0.777814
124849.972770	0.780877
131092.471408	0.794785
137647.094979	0.789661
144529.449728	0.780837
151755.922214	0.751005
159343.718325	0.784735
167310.904241	0.780135
175676.449453	0.774804
184460.271926	0.788084
193683.285522	0.781921
203367.449798	0.786565
213535.822288	0.787028
224212.613402	0.783564
235423.244072	0.791759
247194.406276	0.779040
259554.126590	0.774451
272531.832919	0.798909
286158.424565	0.784686
300466.345794	0.796658
315489.663083	0.786703
331264.146237	0.797747
347827.353549	0.781346
365218.721227	0.776437
383479.657288	0.808985
402653.640152	0.807041
422786.322160	0.805142
443925.638268	0.790413
466121.920181	0.784707
489428.016191	0.795523
513899.417000	0.807164
539594.387850	0.808387
566574.107243	0.790266
594902.812605	0.794532
624647.953235	0.799733
655880.350897	0.803477
688674.368441	0.783569
723108.086864	0.801332
759263.491207	0.778475
797226.665767	0.806339
837087.999055	0.807387
878942.399008	0.813296
922889.518959	0.791041
