Energy	 CrossSection
pHEMA_40%H2O
meV	 barn
3.000000	3.964266
3.150000	3.962905
3.307500	3.929365
3.472875	3.883557
3.646519	3.905280
3.828845	3.829437
4.020287	3.781909
4.221301	3.760946
4.432366	3.728519
4.653985	3.670019
4.886684	3.640925
5.131018	3.615267
5.387569	3.572650
5.656947	3.552111
5.939795	3.525653
6.236785	3.465745
6.548624	3.444235
6.876055	3.383780
7.219858	3.375110
7.580851	3.311296
7.959893	3.328241
8.357888	3.254528
8.775782	3.243028
9.214571	3.215039
9.675300	3.150249
10.159065	3.157347
10.667018	3.120823
11.200369	3.063593
11.760387	3.043233
12.348407	2.986665
12.965827	2.983146
13.614118	2.919429
14.294824	2.882725
15.009566	2.862178
15.760044	2.846750
16.548046	2.777300
17.375448	2.747004
18.244221	2.727660
19.156432	2.675629
20.114253	2.631900
21.119966	2.597448
22.175964	2.558326
23.284763	2.531386
24.449001	2.490600
25.671451	2.447858
26.955023	2.399209
28.302775	2.356781
29.717913	2.331263
31.203809	2.286119
32.763999	2.241459
34.402199	2.207262
36.122309	2.170436
37.928425	2.132755
39.824846	2.096782
41.816088	2.067402
43.906893	2.027110
46.102237	1.989425
48.407349	1.966628
50.827717	1.934709
53.369103	1.901377
56.037558	1.872499
58.839436	1.843002
61.781407	1.814267
64.870478	1.777093
68.114002	1.758649
71.519702	1.729106
75.095687	1.710397
78.850471	1.685102
82.792995	1.650792
86.932644	1.631593
91.279277	1.605430
95.843240	1.581644
100.635402	1.560460
105.667173	1.547310
110.950531	1.519796
116.498058	1.499040
122.322961	1.472543
128.439109	1.449136
134.861064	1.424639
141.604117	1.422237
148.684323	1.397931
156.118539	1.375338
163.924466	1.360342
172.120690	1.340195
180.726724	1.337872
189.763060	1.319710
199.251213	1.305881
209.213774	1.296200
219.674463	1.293643
230.658186	1.283409
242.191095	1.260369
254.300650	1.235648
267.015682	1.235648
280.366467	1.222197
294.384790	1.208527
309.104029	1.180815
324.559231	1.164758
340.787192	1.151187
357.826552	1.161777
375.717880	1.174047
394.503774	1.129890
414.228962	1.133669
434.940410	1.137208
456.687431	1.144335
479.521802	1.108476
503.497893	1.126283
528.672787	1.096657
555.106426	1.104814
582.861748	1.097749
612.004835	1.104177
642.605077	1.090248
674.735331	1.070143
708.472097	1.081138
743.895702	1.080436
781.090487	1.067883
820.145012	1.055709
861.152262	1.056707
904.209875	1.075078
949.420369	1.062646
996.891388	1.053282
1046.735957	1.054946
1099.072755	1.082096
1154.026393	1.043281
1211.727712	1.054003
1272.314098	1.048900
1335.929803	1.050197
1402.726293	1.067537
1472.862608	1.023455
1546.505738	1.054710
1623.831025	1.028450
1705.022576	1.026588
1790.273705	1.054253
1879.787390	1.026532
1973.776760	1.022243
2072.465598	1.023908
2176.088877	1.032620
2284.893321	1.074251
2399.137987	1.007324
2519.094887	1.036225
2645.049631	1.015358
2777.302113	1.013649
2916.167218	0.967685
3061.975579	0.993060
3215.074358	1.012680
3375.828076	1.023784
3544.619480	1.027725
3721.850454	1.007959
3907.942976	1.039790
4103.340125	1.003945
4308.507132	0.991295
4523.932488	1.031244
4750.129113	1.017914
4987.635568	1.010850
5237.017347	1.007385
5498.868214	1.023895
5773.811625	0.990854
6062.502206	0.989453
6365.627316	1.002809
6683.908682	1.031935
7018.104116	1.017304
7369.009322	1.052951
7737.459788	1.051469
8124.332777	0.995698
8530.549416	1.013961
8957.076887	1.008395
9404.930731	0.997059
9875.177268	1.009328
10368.936131	0.985946
10887.382938	1.014016
11431.752085	1.034547
12003.339689	0.995204
12603.506674	0.981363
13233.682007	1.010640
13895.366108	1.036833
14590.134413	0.982127
15319.641134	0.986649
16085.623190	1.014240
16889.904350	1.050820
17734.399567	0.982781
18621.119546	1.009986
19552.175523	1.057514
20529.784299	0.996456
21556.273514	1.041117
22634.087190	1.007926
23765.791549	0.997484
24954.081127	1.018209
26201.785183	1.013438
27511.874442	1.001541
28887.468164	1.015487
30331.841572	1.017076
31848.433651	0.978610
33440.855334	1.011581
35112.898100	1.032178
36868.543005	0.966501
38711.970156	0.992305
40647.568663	1.004122
42679.947097	1.035138
44813.944451	1.047311
47054.641674	1.077589
49407.373758	0.983745
51877.742445	1.001207
54471.629568	0.998590
57195.211046	1.019395
60054.971598	1.061108
63057.720178	0.964716
66210.606187	0.970310
69521.136497	1.036724
72997.193321	0.959768
76647.052988	0.987598
80479.405637	1.036377
84503.375919	1.028860
88728.544715	1.025759
93164.971950	0.952233
97823.220548	1.023644
102714.381575	0.969391
107850.100654	0.927548
113242.605687	1.006675
118904.735971	0.973335
124849.972770	0.967106
131092.471408	0.956200
137647.094979	0.998610
144529.449728	1.014794
151755.922214	1.002688
159343.718325	0.937070
167310.904241	1.018282
175676.449453	0.995055
184460.271926	0.994292
193683.285522	1.034818
203367.449798	1.013028
213535.822288	0.996548
224212.613402	0.965221
235423.244072	1.009225
247194.406276	1.040046
259554.126590	1.022708
272531.832919	1.024925
286158.424565	0.976730
300466.345794	0.967094
315489.663083	0.895238
331264.146237	0.873215
347827.353549	1.004331
365218.721227	1.069901
383479.657288	0.891262
402653.640152	0.877479
422786.322160	0.918566
443925.638268	0.916739
466121.920181	1.039533
489428.016191	0.866030
513899.417000	0.805642
539594.387850	0.976257
566574.107243	0.905341
594902.812605	0.947027
624647.953235	0.921430
655880.350897	0.808608
688674.368441	1.051345
723108.086864	0.797149
759263.491207	0.915528
797226.665767	0.963711
837087.999055	0.843034
878942.399008	0.769027
922889.518959	0.901964
