Energy	 Transmission
pHEMA_40%H2O
meV	 
3.000000	0.338760
3.150000	0.338886
3.307500	0.342004
3.472875	0.346309
3.646519	0.344261
3.828845	0.351465
4.020287	0.356056
4.221301	0.358099
4.432366	0.361284
4.653985	0.367102
4.886684	0.370030
5.131018	0.372631
5.387569	0.376993
5.656947	0.379113
5.939795	0.381862
6.236785	0.388160
6.548624	0.390446
6.876055	0.396945
7.219858	0.397886
7.580851	0.404880
7.959893	0.403011
8.357888	0.411204
8.775782	0.412498
9.214571	0.415662
9.675300	0.423081
10.159065	0.422262
10.667018	0.426494
11.200369	0.433212
11.760387	0.435627
12.348407	0.442408
12.965827	0.442833
13.614118	0.450605
14.294824	0.455144
15.009566	0.457704
15.760044	0.459637
16.548046	0.468436
17.375448	0.472327
18.244221	0.474829
19.156432	0.481623
20.114253	0.487408
21.119966	0.492015
22.175964	0.497299
23.284763	0.500971
24.449001	0.506581
25.671451	0.512528
26.955023	0.519382
28.302775	0.525434
29.717913	0.529108
31.203809	0.535670
32.763999	0.542243
34.402199	0.547330
36.122309	0.552861
37.928425	0.558579
39.824846	0.564093
41.816088	0.568636
43.906893	0.574927
46.102237	0.580874
48.407349	0.584501
50.827717	0.589617
53.369103	0.595008
56.037558	0.599718
58.839436	0.604568
61.781407	0.609330
64.870478	0.615547
68.114002	0.618655
71.519702	0.623666
75.095687	0.626860
78.850471	0.631205
82.792995	0.637146
86.932644	0.640495
91.279277	0.645087
95.843240	0.649290
100.635402	0.653057
105.667173	0.655406
110.950531	0.660348
116.498058	0.664101
122.322961	0.668924
128.439109	0.673213
134.861064	0.677731
141.604117	0.678176
148.684323	0.682692
156.118539	0.686916
163.924466	0.689735
172.120690	0.693540
180.726724	0.693980
189.763060	0.697430
199.251213	0.700068
209.213774	0.701921
219.674463	0.702412
230.658186	0.704377
242.191095	0.708823
254.300650	0.713624
267.015682	0.713624
280.366467	0.716249
294.384790	0.718928
309.104029	0.724389
324.559231	0.727572
340.787192	0.730273
357.826552	0.728164
375.717880	0.725729
394.503774	0.734532
414.228962	0.733774
434.940410	0.733066
456.687431	0.731640
479.521802	0.738839
503.497893	0.735256
528.672787	0.741228
555.106426	0.739578
582.861748	0.741007
612.004835	0.739707
642.605077	0.742526
674.735331	0.746613
708.472097	0.744375
743.895702	0.744518
781.090487	0.747074
820.145012	0.749562
861.152262	0.749358
904.209875	0.745608
949.420369	0.748143
996.891388	0.750059
1046.735957	0.749718
1099.072755	0.744181
1154.026393	0.752110
1211.727712	0.749911
1272.314098	0.750957
1335.929803	0.750691
1402.726293	0.747145
1472.862608	0.756192
1546.505738	0.749766
1623.831025	0.755162
1705.022576	0.755546
1790.273705	0.749860
1879.787390	0.755557
1973.776760	0.756443
2072.465598	0.756099
2176.088877	0.754302
2284.893321	0.745776
2399.137987	0.759531
2519.094887	0.753560
2645.049631	0.757866
2777.302113	0.758220
2916.167218	0.767796
3061.975579	0.762495
3215.074358	0.758421
3375.828076	0.756125
3544.619480	0.755311
3721.850454	0.759399
3907.942976	0.752827
4103.340125	0.760232
4308.507132	0.762862
4523.932488	0.754586
4750.129113	0.757337
4987.635568	0.758800
5237.017347	0.759518
5498.868214	0.756102
5773.811625	0.762954
6062.502206	0.763246
6365.627316	0.760468
6683.908682	0.754444
7018.104116	0.757464
7369.009322	0.750127
7737.459788	0.750430
8124.332777	0.761945
8530.549416	0.758155
8957.076887	0.759308
9404.930731	0.761663
9875.177268	0.759115
10368.936131	0.763977
10887.382938	0.758144
11431.752085	0.753906
12003.339689	0.762048
12603.506674	0.764934
13233.682007	0.758843
13895.366108	0.753435
14590.134413	0.764774
15319.641134	0.763831
16085.623190	0.758098
16889.904350	0.750563
17734.399567	0.764638
18621.119546	0.758979
19552.175523	0.749193
20529.784299	0.761788
21556.273514	0.752554
22634.087190	0.759406
23765.791549	0.761574
24954.081127	0.757276
26201.785183	0.758264
27511.874442	0.760731
28887.468164	0.757840
30331.841572	0.757511
31848.433651	0.765509
33440.855334	0.758648
35112.898100	0.754394
36868.543005	0.768044
38711.970156	0.762652
40647.568663	0.760195
42679.947097	0.753784
44813.944451	0.751283
47054.641674	0.745097
49407.373758	0.764436
51877.742445	0.760800
54471.629568	0.761344
57195.211046	0.757031
60054.971598	0.748458
63057.720178	0.768419
66210.606187	0.767246
69521.136497	0.753458
72997.193321	0.769458
76647.052988	0.763633
80479.405637	0.753529
84503.375919	0.755077
88728.544715	0.755717
93164.971950	0.771042
97823.220548	0.756153
102714.381575	0.767439
107850.100654	0.776257
113242.605687	0.759665
118904.735971	0.766612
124849.972770	0.767918
131092.471408	0.770208
137647.094979	0.761340
144529.449728	0.757983
151755.922214	0.760493
159343.718325	0.774242
167310.904241	0.757261
175676.449453	0.762079
184460.271926	0.762238
193683.285522	0.753850
203367.449798	0.758348
213535.822288	0.761769
224212.613402	0.768313
235423.244072	0.759136
247194.406276	0.752774
259554.126590	0.756347
272531.832919	0.755889
286158.424565	0.765902
300466.345794	0.767920
315489.663083	0.783136
331264.146237	0.787859
347827.353549	0.760152
365218.721227	0.746663
383479.657288	0.783987
402653.640152	0.786943
422786.322160	0.778163
443925.638268	0.778552
466121.920181	0.752880
489428.016191	0.789407
513899.417000	0.802531
539594.387850	0.766001
566574.107243	0.780978
594902.812605	0.772139
624647.953235	0.777555
655880.350897	0.801882
688674.368441	0.750456
723108.086864	0.804395
759263.491207	0.778809
797226.665767	0.768630
837087.999055	0.794379
878942.399008	0.810595
922889.518959	0.781699
