Energy	 CrossSection
pHEMA_10%H2O
meV	 barn
3.000000	3.920533
3.150000	3.854506
3.307500	3.797265
3.472875	3.727345
3.646519	3.756117
3.828845	3.744672
4.020287	3.667914
4.221301	3.682650
4.432366	3.596366
4.653985	3.605952
4.886684	3.526542
5.131018	3.510315
5.387569	3.486632
5.656947	3.467020
5.939795	3.442161
6.236785	3.414636
6.548624	3.375907
6.876055	3.335071
7.219858	3.290357
7.580851	3.251057
7.959893	3.235416
8.357888	3.217824
8.775782	3.166060
9.214571	3.157955
9.675300	3.131044
10.159065	3.101755
10.667018	3.064075
11.200369	3.015442
11.760387	2.993137
12.348407	2.975459
12.965827	2.920909
13.614118	2.874531
14.294824	2.862582
15.009566	2.845879
15.760044	2.793791
16.548046	2.773556
17.375448	2.738939
18.244221	2.689133
19.156432	2.658485
20.114253	2.621160
21.119966	2.599323
22.175964	2.556009
23.284763	2.511134
24.449001	2.469623
25.671451	2.430276
26.955023	2.390980
28.302775	2.354223
29.717913	2.326557
31.203809	2.292548
32.763999	2.250796
34.402199	2.218622
36.122309	2.185724
37.928425	2.147389
39.824846	2.117011
41.816088	2.077966
43.906893	2.045531
46.102237	2.029115
48.407349	1.987727
50.827717	1.954016
53.369103	1.918662
56.037558	1.892806
58.839436	1.859291
61.781407	1.823995
64.870478	1.799257
68.114002	1.773050
71.519702	1.727602
75.095687	1.703387
78.850471	1.686389
82.792995	1.655112
86.932644	1.625305
91.279277	1.597174
95.843240	1.560236
100.635402	1.547851
105.667173	1.516640
110.950531	1.483575
116.498058	1.456213
122.322961	1.452713
128.439109	1.395434
134.861064	1.393321
141.604117	1.392798
148.684323	1.361128
156.118539	1.341259
163.924466	1.352760
172.120690	1.311891
180.726724	1.326865
189.763060	1.296852
199.251213	1.299006
209.213774	1.274039
219.674463	1.264524
230.658186	1.259833
242.191095	1.242627
254.300650	1.236591
267.015682	1.206785
280.366467	1.183965
294.384790	1.203842
309.104029	1.158685
324.559231	1.159232
340.787192	1.150529
357.826552	1.128633
375.717880	1.154223
394.503774	1.102624
414.228962	1.122914
434.940410	1.126757
456.687431	1.121089
479.521802	1.111425
503.497893	1.105301
528.672787	1.105459
555.106426	1.104194
582.861748	1.090619
612.004835	1.100014
642.605077	1.066569
674.735331	1.045451
708.472097	1.070015
743.895702	1.075197
781.090487	1.077521
820.145012	1.058508
861.152262	1.057735
904.209875	1.069497
949.420369	1.077813
996.891388	1.056250
1046.735957	1.051176
1099.072755	1.076326
1154.026393	1.058817
1211.727712	1.063702
1272.314098	1.043830
1335.929803	1.062903
1402.726293	1.030300
1472.862608	1.045170
1546.505738	1.036417
1623.831025	1.054651
1705.022576	1.040199
1790.273705	1.046853
1879.787390	1.065391
1973.776760	1.009638
2072.465598	1.044621
2176.088877	1.036781
2284.893321	1.033308
2399.137987	0.990323
2519.094887	1.021068
2645.049631	1.056286
2777.302113	1.011384
2916.167218	0.986511
3061.975579	1.043156
3215.074358	1.006050
3375.828076	1.012706
3544.619480	1.015753
3721.850454	1.027689
3907.942976	1.009134
4103.340125	1.052902
4308.507132	1.008089
4523.932488	1.064710
4750.129113	1.035491
4987.635568	1.022048
5237.017347	1.029892
5498.868214	1.053237
5773.811625	0.952584
6062.502206	0.992728
6365.627316	0.996612
6683.908682	0.971494
7018.104116	1.043136
7369.009322	1.022986
7737.459788	1.039324
8124.332777	0.976489
8530.549416	1.022689
8957.076887	0.998526
9404.930731	0.991077
9875.177268	1.017274
10368.936131	0.981931
10887.382938	0.968930
11431.752085	1.055543
12003.339689	1.021254
12603.506674	0.926845
13233.682007	0.982735
13895.366108	1.025252
14590.134413	1.013206
15319.641134	0.969247
16085.623190	1.052253
16889.904350	1.003457
17734.399567	1.051530
18621.119546	1.035642
19552.175523	0.959127
20529.784299	0.964428
21556.273514	1.017588
22634.087190	0.989367
23765.791549	1.016046
24954.081127	0.996973
26201.785183	0.927689
27511.874442	1.030709
28887.468164	0.960427
30331.841572	1.012218
31848.433651	1.063028
33440.855334	1.039453
35112.898100	1.044994
36868.543005	0.979197
38711.970156	0.978067
40647.568663	0.957318
42679.947097	0.922829
44813.944451	0.991155
47054.641674	1.013387
49407.373758	1.034491
51877.742445	1.012478
54471.629568	0.981787
57195.211046	1.038446
60054.971598	1.000241
63057.720178	0.947346
66210.606187	1.063594
69521.136497	1.028783
72997.193321	0.917985
76647.052988	0.984159
80479.405637	1.122973
84503.375919	0.989229
88728.544715	0.985378
93164.971950	1.057424
97823.220548	1.043424
102714.381575	1.027042
107850.100654	1.005483
113242.605687	0.980972
118904.735971	0.998288
124849.972770	0.977855
131092.471408	0.998025
137647.094979	0.993736
144529.449728	0.974186
151755.922214	1.086751
159343.718325	0.979784
167310.904241	0.915662
175676.449453	1.014283
184460.271926	0.947345
193683.285522	0.907146
203367.449798	1.034354
213535.822288	0.969460
224212.613402	0.946251
235423.244072	1.057819
247194.406276	0.958545
259554.126590	0.942108
272531.832919	0.896185
286158.424565	0.961190
300466.345794	1.087704
315489.663083	0.925059
331264.146237	0.977618
347827.353549	1.038097
365218.721227	0.976528
383479.657288	0.854027
402653.640152	0.803632
422786.322160	0.920695
443925.638268	0.934361
466121.920181	0.966960
489428.016191	0.889582
513899.417000	0.862694
539594.387850	0.760307
566574.107243	0.810700
594902.812605	0.839983
624647.953235	0.996463
655880.350897	0.880969
688674.368441	0.919813
723108.086864	0.823797
759263.491207	0.849954
797226.665767	0.830663
837087.999055	0.890041
878942.399008	0.868688
922889.518959	0.985551
