Energy	 Transmission
pHEMA_10%H2O
meV	 
3.000000	0.380289
3.150000	0.386532
3.307500	0.392027
3.472875	0.398845
3.646519	0.396025
3.828845	0.397144
4.020287	0.404733
4.221301	0.403265
4.432366	0.411938
4.653985	0.410965
4.886684	0.419093
5.131018	0.420773
5.387569	0.423238
5.656947	0.425290
5.939795	0.427905
6.236785	0.430819
6.548624	0.434953
6.876055	0.439356
7.219858	0.444227
7.580851	0.448553
7.959893	0.450287
8.357888	0.452245
8.775782	0.458055
9.214571	0.458971
9.675300	0.462027
10.159065	0.465376
10.667018	0.469721
11.200369	0.475388
11.760387	0.478010
12.348407	0.480099
12.965827	0.486601
13.614118	0.492198
14.294824	0.493650
15.009566	0.495688
15.760044	0.502096
16.548046	0.504608
17.375448	0.508934
18.244221	0.515224
19.156432	0.519132
20.114253	0.523933
21.119966	0.526762
22.175964	0.532419
23.284763	0.538343
24.449001	0.543883
25.671451	0.549186
26.955023	0.554534
28.302775	0.559583
29.717913	0.563414
31.203809	0.568159
32.763999	0.574039
34.402199	0.578612
36.122309	0.583325
37.928425	0.588866
39.824846	0.593294
41.816088	0.599034
43.906893	0.603845
46.102237	0.606294
48.407349	0.612514
50.827717	0.617627
53.369103	0.623035
56.037558	0.627021
58.839436	0.632225
61.781407	0.637751
64.870478	0.641654
68.114002	0.645814
71.519702	0.653093
75.095687	0.657005
78.850471	0.659765
82.792995	0.664873
86.932644	0.669778
91.279277	0.674441
95.843240	0.680612
100.635402	0.682694
105.667173	0.687969
110.950531	0.693602
116.498058	0.698298
122.322961	0.698901
128.439109	0.708843
134.861064	0.709212
141.604117	0.709304
148.684323	0.714865
156.118539	0.718377
163.924466	0.716342
172.120690	0.723598
180.726724	0.720931
189.763060	0.726287
199.251213	0.725901
209.213774	0.730384
219.674463	0.732100
230.658186	0.732947
242.191095	0.736064
254.300650	0.737160
267.015682	0.742599
280.366467	0.746790
294.384790	0.743138
309.104029	0.751460
324.559231	0.751358
340.787192	0.752973
357.826552	0.757050
375.717880	0.752287
394.503774	0.761921
414.228962	0.758118
434.940410	0.757400
456.687431	0.758459
479.521802	0.760269
503.497893	0.761418
528.672787	0.761388
555.106426	0.761626
582.861748	0.764180
612.004835	0.762411
642.605077	0.768725
674.735331	0.772739
708.472097	0.768072
743.895702	0.767092
781.090487	0.766652
820.145012	0.770255
861.152262	0.770402
904.209875	0.768170
949.420369	0.766597
996.891388	0.770684
1046.735957	0.771649
1099.072755	0.766878
1154.026393	0.770196
1211.727712	0.769269
1272.314098	0.773048
1335.929803	0.769421
1402.726293	0.775632
1472.862608	0.772793
1546.505738	0.774463
1623.831025	0.770988
1705.022576	0.773741
1790.273705	0.772472
1879.787390	0.768949
1973.776760	0.779594
2072.465598	0.772897
2176.088877	0.774393
2284.893321	0.775057
2399.137987	0.783316
2519.094887	0.777400
2645.049631	0.770677
2777.302113	0.779259
2916.167218	0.784053
3061.975579	0.773177
3215.074358	0.780284
3375.828076	0.779004
3544.619480	0.778419
3721.850454	0.776131
3907.942976	0.779691
4103.340125	0.771321
4308.507132	0.779892
4523.932488	0.769078
4750.129113	0.774639
4987.635568	0.777212
5237.017347	0.775710
5498.868214	0.771257
5773.811625	0.790640
6062.502206	0.782852
6365.627316	0.782102
6683.908682	0.786962
7018.104116	0.773180
7369.009322	0.777032
7737.459788	0.773908
8124.332777	0.785993
8530.549416	0.777089
8957.076887	0.781733
9404.930731	0.783171
9875.177268	0.778127
10368.936131	0.784939
10887.382938	0.787460
11431.752085	0.770818
12003.339689	0.777364
12603.506674	0.795675
13233.682007	0.784783
13895.366108	0.776598
14590.134413	0.778908
15319.641134	0.787398
16085.623190	0.771444
16889.904350	0.780783
17734.399567	0.771582
18621.119546	0.774611
19552.175523	0.789366
20529.784299	0.788334
21556.273514	0.778067
22634.087190	0.783501
23765.791549	0.778363
24954.081127	0.782033
26201.785183	0.795509
27511.874442	0.775554
28887.468164	0.789113
30331.841572	0.779098
31848.433651	0.769397
33440.855334	0.773883
35112.898100	0.772826
36868.543005	0.785468
38711.970156	0.785687
40647.568663	0.789718
42679.947097	0.796463
44813.944451	0.783156
47054.641674	0.778874
49407.373758	0.774831
51877.742445	0.779048
54471.629568	0.784967
57195.211046	0.774075
60054.971598	0.781403
63057.720178	0.791662
66210.606187	0.769290
69521.136497	0.775922
72997.193321	0.797415
76647.052988	0.784508
80479.405637	0.758107
84503.375919	0.783528
88728.544715	0.784272
93164.971950	0.770461
97823.220548	0.773126
102714.381575	0.776255
107850.100654	0.780393
113242.605687	0.785125
118904.735971	0.781779
124849.972770	0.785728
131092.471408	0.781830
137647.094979	0.782657
144529.449728	0.786440
151755.922214	0.764909
159343.718325	0.785355
167310.904241	0.797872
175676.449453	0.778701
184460.271926	0.791662
193683.285522	0.799549
203367.449798	0.774857
213535.822288	0.787357
224212.613402	0.791876
235423.244072	0.770386
247194.406276	0.789479
259554.126590	0.792686
272531.832919	0.801714
286158.424565	0.788964
300466.345794	0.764729
315489.663083	0.796025
331264.146237	0.785774
347827.353549	0.774142
365218.721227	0.785985
383479.657288	0.810092
402653.640152	0.820222
422786.322160	0.796882
443925.638268	0.794201
466121.920181	0.787842
489428.016191	0.803020
513899.417000	0.808362
539594.387850	0.829033
566574.107243	0.818794
594902.812605	0.812902
624647.953235	0.782131
655880.350897	0.804728
688674.368441	0.797056
723108.086864	0.816154
759263.491207	0.810906
797226.665767	0.814773
837087.999055	0.802929
878942.399008	0.807168
922889.518959	0.784239
